Year,App.,Taxon,Class,Importer,Exporter,Exporter reported quantity,Term,Purpose,Source
2001,I,Aquila spp.,Aves,FR,CA,,feathers,Q,O
2001,I,Aquila heliaca,Aves,BE,AE,,live,P,C
2001,I,Aquila heliaca,Aves,BE,KZ,,bodies,E,C
2001,I,Aquila heliaca,Aves,BE,RU,1,live,Z,F
2001,I,Aquila heliaca,Aves,US,KZ,57,specimens,S,W
2001,I,Haliaeetus albicilla,Aves,AT,KZ,1,live,B,F
2001,I,Haliaeetus albicilla,Aves,AT,KZ,1,live,P,F
2001,I,Haliaeetus albicilla,Aves,AT,KZ,1,live,P,W
2001,I,Haliaeetus albicilla,Aves,BE,KZ,,live,B,C
2001,I,Haliaeetus albicilla,Aves,BE,KZ,3,live,Z,C
2001,I,Haliaeetus albicilla,Aves,GB,GB,,bodies,,I
2001,I,Haliaeetus albicilla,Aves,GB,KZ,3,live,T,C
2001,I,Haliaeetus albicilla,Aves,GB,RU,5,live,B,C
2001,I,Haliaeetus albicilla,Aves,GL,DK,12,bodies,S,W
2001,I,Haliaeetus albicilla,Aves,IL,CZ,1,live,N,C
2001,I,Haliaeetus albicilla,Aves,IL,NL,2,live,N,C
2001,I,Haliaeetus albicilla,Aves,MY,SG,2,live,Q,C
2001,I,Haliaeetus albicilla,Aves,SG,MY,,live,Q,C
2001,I,Haliaeetus albicilla,Aves,US,KZ,89,feathers,S,W
2001,I,Haliaeetus albicilla,Aves,US,KZ,,specimens,S,W
2001,I,Haliaeetus leucocephalus,Aves,CA,NL,,live,B,C
2001,I,Haliaeetus leucocephalus,Aves,CA,US,6,feathers,P,W
2001,I,Haliaeetus leucocephalus,Aves,CH,CZ,2,live,B,C
2001,I,Haliaeetus leucocephalus,Aves,CH,CZ,,live,Z,C
2001,I,Haliaeetus leucocephalus,Aves,CH,DE,1,live,T,C
2001,I,Haliaeetus leucocephalus,Aves,CH,DE,,live,Z,C
2001,I,Haliaeetus leucocephalus,Aves,CL,CA,3290,specimens,S,W
2001,I,Haliaeetus leucocephalus,Aves,DE,CA,,feathers,P,W
2001,I,Haliaeetus leucocephalus,Aves,DE,US,30,feathers,P,W
2001,I,Haliaeetus leucocephalus,Aves,FI,RU,11,feathers,Q,O
2001,I,Haliaeetus leucocephalus,Aves,FR,CZ,2,live,Z,C
2001,I,Haliaeetus leucocephalus,Aves,MY,SG,2,live,Q,C
2001,I,Haliaeetus leucocephalus,Aves,NL,CA,,live,B,C
2001,I,Haliaeetus leucocephalus,Aves,NZ,CA,,feathers,,I
2001,I,Haliaeetus leucocephalus,Aves,NZ,US,,feathers,,I
2001,I,Haliaeetus leucocephalus,Aves,RU,CA,1,live,Z,W
2001,I,Haliaeetus leucocephalus,Aves,SG,CA,,live,Z,W
2001,I,Haliaeetus leucocephalus,Aves,SG,MY,,live,Q,C
2001,I,Haliaeetus leucocephalus,Aves,US,CA,,feathers,P,I
2001,I,Haliaeetus leucocephalus,Aves,US,CA,,feathers,P,W
2001,I,Haliaeetus leucocephalus,Aves,US,CA,,feathers,P,I
2001,I,Haliaeetus leucocephalus,Aves,US,CA,,claws,L,W
2001,I,Haliaeetus leucocephalus,Aves,US,CA,,feathers,H,W
2001,I,Haliaeetus leucocephalus,Aves,US,CA,,feathers,P,I
