Year,App,Taxon,Class,Importer,Exporter,Exporter_reported_quantity,Term,Purpose,Source
2003,I,Aquila heliaca,Aves,AT,HU,1,live,B,W
2003,I,Aquila heliaca,Aves,GB,AE,,bodies,S,W
2003,I,Aquila heliaca,Aves,HU,BG,3,feathers,S,W
2003,I,Aquila heliaca,Aves,MT,EG,,skins,,I
2003,I,Aquila heliaca,Aves,US,KZ,,eggs,S,I
2003,I,Aquila heliaca,Aves,US,KZ,700,feathers,S,W
2003,I,Aquila heliaca,Aves,US,KZ,70,specimens,S,W
2003,I,Haliaeetus albicilla,Aves,AT,LV,1,live,Z,F
2003,I,Haliaeetus albicilla,Aves,BE,KZ,4,live,B,C
2003,I,Haliaeetus albicilla,Aves,BE,PL,1,bodies,E,W
2003,I,Haliaeetus albicilla,Aves,CH,DE,25,feathers,T,C
2003,I,Haliaeetus albicilla,Aves,CH,KZ,1,live,Z,F
2003,I,Haliaeetus albicilla,Aves,DK,GL,,bodies,P,O
2003,I,Haliaeetus albicilla,Aves,DK,GL,10,feathers,S,W
2003,I,Haliaeetus albicilla,Aves,GB,KZ,7,live,B,C
2003,I,Haliaeetus albicilla,Aves,GB,KZ,3,live,B,F
2003,I,Haliaeetus albicilla,Aves,GB,NO,1,bodies,P,W
2003,I,Haliaeetus albicilla,Aves,GB,NO,0.2,specimens,S,W
2003,I,Haliaeetus albicilla,Aves,HU,SE,,live,Z,C
2003,I,Haliaeetus albicilla,Aves,HU,SE,1,live,Z,C
2003,I,Haliaeetus albicilla,Aves,IL,PL,1,live,N,F
2003,I,Haliaeetus albicilla,Aves,NO,FI,,bodies,P,I
2003,I,Haliaeetus albicilla,Aves,PL,BE,,bodies,E,W
2003,I,Haliaeetus albicilla,Aves,SE,IS,80,specimens,S,W
2003,I,Haliaeetus albicilla,Aves,SE,JP,13,specimens,S,W
2003,I,Haliaeetus albicilla,Aves,US,KZ,,eggs,S,I
2003,I,Haliaeetus albicilla,Aves,US,KZ,350,feathers,S,W
2003,I,Haliaeetus albicilla,Aves,US,KZ,40,specimens,S,W
2003,I,Haliaeetus leucocephalus,Aves,CA,US,32,feathers,L,I
2003,I,Haliaeetus leucocephalus,Aves,CA,US,3,feathers,P,U
2003,I,Haliaeetus leucocephalus,Aves,CA,US,6,feathers,P,W
2003,I,Haliaeetus leucocephalus,Aves,CA,US,,feathers,L,I
2003,I,Haliaeetus leucocephalus,Aves,CH,DE,1,live,T,C
2003,I,Haliaeetus leucocephalus,Aves,CH,FR,1,live,Q,C
2003,I,Haliaeetus leucocephalus,Aves,DE,CZ,2,live,B,C
2003,I,Haliaeetus leucocephalus,Aves,DE,CZ,,live,T,C
2003,I,Haliaeetus leucocephalus,Aves,FR,US,3,garments,P,U
2003,I,Haliaeetus leucocephalus,Aves,NL,CA,,feathers,Q,O
2003,I,Haliaeetus leucocephalus,Aves,NZ,CA,,feathers,,I
2003,I,Haliaeetus leucocephalus,Aves,RU,CZ,2,live,Z,C
2003,I,Haliaeetus leucocephalus,Aves,TW,CA,2,live,P,C
2003,I,Haliaeetus leucocephalus,Aves,US,CA,,feathers,P,I
2003,I,Haliaeetus leucocephalus,Aves,US,CA,,feathers,P,W
2003,I,Haliaeetus leucocephalus,Aves,US,CA,,bone carvings,P,W
2003,I,Haliaeetus leucocephalus,Aves,US,CA,,bones,P,W
2003,I,Haliaeetus leucocephalus,Aves,US,CA,,claws,P,W
2003,I,Haliaeetus leucocephalus,Aves,US,CA,,feathers,E,I
2003,I,Haliaeetus leucocephalus,Aves,US,CA,,feathers,H,W
2003,I,Haliaeetus leucocephalus,Aves,US,CA,,feathers,P,I
2003,I,Haliaeetus leucocephalus,Aves,US,CA,,feathers,P,U
2003,I,Haliaeetus leucocephalus,Aves,US,CA,,feathers,P,W
2003,I,Haliaeetus leucocephalus,Aves,US,CA,,feet,P,I
2003,I,Haliaeetus leucocephalus,Aves,US,CA,,unspecified,P,W
2003,I,Haliaeetus leucocephalus,Aves,US,MX,,claws,P,W
2003,I,Haliaeetus leucocephalus,Aves,US,NL,,feathers,P,I
2003,I,Haliaeetus leucocephalus,Aves,XX,US,12,feathers,P,I
2003,I,Harpia harpyja,Aves,GB,BR,2,specimens,S,C
2003,I,Achatinella caesia,Gastropoda,JP,US,4,live,T,F
2003,I,Agave parviflora,,AU,US,40,seeds,T,D
2003,I,Agave parviflora,,CA,US,20,seeds,T,D
2003,I,Agave parviflora,,CH,DE,4,live,T,D
2003,I,Agave parviflora,,CO,US,20,seeds,T,D
2003,I,Agave parviflora,,FR,US,120,seeds,T,D
2003,I,Agave parviflora,,MX,US,20,seeds,T,D
2003,I,Agave parviflora,,TH,US,200,seeds,T,D
2003,I,Agave parviflora,,TW,TH,2,live,T,A
2003,I,Agave parviflora,,TW,US,60,seeds,T,D
2003,I,Agave parviflora,,US,MX,,live,P,I
2003,I,Ailurus fulgens,Mammalia,CA,US,,live,B,C
2003,I,Ailurus fulgens,Mammalia,CA,US,1,live,Z,C
2003,I,Ailurus fulgens,Mammalia,CH,FR,,live,Z,C
2003,I,Ailurus fulgens,Mammalia,DE,CH,1,live,,C
2003,I,Ailurus fulgens,Mammalia,GB,IE,2,live,Z,C
2003,I,Ailurus fulgens,Mammalia,GB,PL,1,live,Z,C
2003,I,Ailurus fulgens,Mammalia,HR,FR,1,live,Z,C
2003,I,Ailurus fulgens,Mammalia,HU,DE,,live,Z,C
2003,I,Ailurus fulgens,Mammalia,MX,JP,2,live,Z,C
2003,I,Ailurus fulgens,Mammalia,NL,CH,,live,Z,C
2003,I,Ailurus fulgens,Mammalia,NL,CH,1,live,,C
2003,I,Ailurus fulgens,Mammalia,SI,AT,,live,Z,C
2003,I,Alligator sinensis,Reptilia,CN,ES,3,live,T,D
2003,I,Alligator sinensis,Reptilia,JP,CN,16,live,T,D
2003,I,Alligator sinensis,Reptilia,US,CN,13,skins,S,D
2003,I,Alligator sinensis,Reptilia,US,CN,50,specimens,S,D
2003,I,Melanosuchus niger,Reptilia,ES,BR,3,skulls,E,W
2003,I,Melanosuchus niger,Reptilia,ES,BR,3,skulls,E,W
2003,I,Melanosuchus niger,Reptilia,ES,PE,15,skulls,Q,W
2003,I,Melanosuchus niger,Reptilia,GF,EC,,scales,S,R
2003,I,Melanosuchus niger,Reptilia,GF,EC,135,specimens,S,C
2003,I,Melanosuchus niger,Reptilia,PA,PE,12,specimens,S,C
2003,I,Anas aucklandica,Aves,US,NZ,95,specimens,S,C
2003,I,Asarcornis scutulata,Aves,GB,JE,,live,Z,C
2003,I,Asarcornis scutulata,Aves,GR,JE,1,live,B,C
2003,I,Branta canadensis leucopareia,Aves,RU,JP,8,live,S,C
2003,I,Branta sandvicensis,Aves,CH,NL,11,live,T,C
2003,I,Branta sandvicensis,Aves,GR,NL,1,live,Z,C
2003,I,Antilocapra americana mexicana,Mammalia,US,MX,,skulls,P,W
2003,I,Antilocapra americana sonoriensis,Mammalia,US,AR,,specimens,S,W
2003,I,Pachypodium ambongense,,DE,CH,,live,T,D
2003,I,Pachypodium ambongense,,DE,CH,20,live,,A
2003,I,Pachypodium ambongense,,US,CH,,live,T,D
2003,I,Pachypodium ambongense,,US,CH,150,live,,A
2003,I,Pachypodium baronii,,CH,DE,4,live,T,D
2003,I,Pachypodium baronii,,DE,CH,,live,T,D
2003,I,Pachypodium baronii,,DE,CH,115,live,,A
2003,I,Pachypodium baronii,,FR,CH,,cultures,T,A
2003,I,Pachypodium baronii,,FR,CH,15,seeds,,A
2003,I,Pachypodium baronii,,MC,DE,3,live,T,D
2003,I,Pachypodium baronii,,US,CH,230,live,,A
2003,I,Araucaria araucana,,CH,BE,5,live,T,A
2003,I,Araucaria araucana,,CH,BE,,live,,A
2003,I,Araucaria araucana,,CH,DE,20,live,T,A
2003,I,Araucaria araucana,,CH,DE,,live,,A
2003,I,Araucaria araucana,,CL,NL,5188,live,L,I
2003,I,Araucaria araucana,,GB,CL,4,timber pieces,S,W
2003,I,Araucaria araucana,,JP,US,800,live,T,D
2003,I,Araucaria araucana,,NL,AR,3000,live,T,A
2003,I,Araucaria araucana,,NL,AR,11180,live,T,D
2003,I,Araucaria araucana,,NL,CL,62671,live,T,A
2003,I,Araucaria araucana,,NL,NZ,6900,live,T,A
2003,I,Araucaria araucana,,US,CA,,live,T,A
2003,I,Araucaria araucana,,US,CA,,seeds,T,A
2003,I,Araucaria araucana,,US,CL,,live,P,I
2003,I,Araucaria araucana,,US,CL,,seeds,S,W
2003,I,Araucaria araucana,,US,NL,2500,live,T,A
2003,I,Alouatta palliata,Mammalia,PA,MX,50,specimens,S,W
2003,I,Ateles geoffroyi frontatus,Mammalia,CH,FR,,live,Z,C
2003,I,Ateles geoffroyi frontatus,Mammalia,US,GB,1,bodies,P,U
2003,I,Ateles geoffroyi frontatus,Mammalia,US,NZ,8,specimens,Z,C
2003,I,Ateles geoffroyi ornatus,Mammalia,US,CR,100,specimens,S,W
2003,I,Balaena mysticetus,Mammalia,CA,CA,3,bones,P,O
2003,I,Balaena mysticetus,Mammalia,CA,CA,3,bones,Q,O
2003,I,Balaena mysticetus,Mammalia,CA,GL,11,specimens,S,W
2003,I,Balaena mysticetus,Mammalia,CA,US,3,unspecified,E,W
2003,I,Balaena mysticetus,Mammalia,CA,US,224,specimens,S,W
2003,I,Balaena mysticetus,Mammalia,DE,RU,1,bones,Q,W
2003,I,Balaena mysticetus,Mammalia,DE,RU,,carvings,Q,O
2003,I,Balaena mysticetus,Mammalia,DE,RU,1,specimens,E,W
2003,I,Balaena mysticetus,Mammalia,DK,GL,,bones,P,W
2003,I,Balaena mysticetus,Mammalia,DK,GL,2,bones,P,W
2003,I,Balaena mysticetus,Mammalia,FR,CA,,carvings,Q,O
2003,I,Balaena mysticetus,Mammalia,RU,DE,1,carvings,Q,O
2003,I,Balaena mysticetus,Mammalia,US,CA,,bone carvings,P,O
2003,I,Balaena mysticetus,Mammalia,US,JP,,meat,P,I
2003,I,Eubalaena spp.,Mammalia,NZ,AU,,teeth,,I
2003,I,Eubalaena spp.,Mammalia,NZ,CA,,bones,,I
2003,I,Eubalaena spp.,Mammalia,NZ,FJ,,teeth,,I
2003,I,Eubalaena spp.,Mammalia,NZ,GB,,bones,P,W
2003,I,Eubalaena spp.,Mammalia,NZ,TO,,teeth,,I
2003,I,Eubalaena spp.,Mammalia,NZ,XX,,bones,,I
2003,I,Eubalaena australis,Mammalia,JP,ZZ,,skin pieces,S,W
2003,I,Eubalaena australis,Mammalia,US,AR,1,specimens,S,W
2003,I,Eubalaena glacialis,Mammalia,CA,CA,1,bones,P,O
2003,I,Eubalaena glacialis,Mammalia,CA,US,,specimens,S,W
2003,I,Eubalaena glacialis,Mammalia,CA,US,39,specimens,S,W
2003,I,Eubalaena glacialis,Mammalia,NZ,CA,1,unspecified,P,O
2003,I,Eubalaena glacialis,Mammalia,NZ,US,4,specimens,S,W
2003,I,Eubalaena glacialis,Mammalia,US,CA,,specimens,S,W
2003,I,Eubalaena glacialis,Mammalia,US,CR,5,specimens,S,W
2003,I,Eubalaena glacialis,Mammalia,US,EC,5,specimens,S,W
2003,I,Eubalaena glacialis,Mammalia,US,GT,5,specimens,S,W
2003,I,Eubalaena glacialis,Mammalia,US,MX,5,specimens,S,W
2003,I,Eubalaena glacialis,Mammalia,US,PF,5,specimens,S,W
2003,I,Eubalaena glacialis,Mammalia,US,SV,5,specimens,S,W
2003,I,Eubalaena glacialis,Mammalia,ZA,NA,1,bones,P,W
2003,I,Eubalaena japonica,Mammalia,JP,ZZ,,skin pieces,S,W
2003,I,Balaenoptera spp.,Mammalia,US,CA,,carvings,P,I
