Year,App.,Taxon,Class,Importer,Exporter,Exporter_reported_quantity,Term,Purpose,Source
2017,I,Haliaeetus albicilla,Aves,CZ,KZ,1,live,B,C
2017,I,Haliaeetus albicilla,Aves,DE,CH,,live,T,C
2017,I,Haliaeetus albicilla,Aves,DE,KZ,4,live,T,C
2017,I,Alligator sinensis,Reptilia,HK,IT,1,leather products (small),P,W
2017,I,Melanosuchus niger,Reptilia,IT,TR,,garments,T,W
2017,I,Araucaria araucana,,AL,IT,1,live,T,D
2017,I,Araucaria araucana,,CH,DE,48,live,T,D
2017,I,Araucaria araucana,,CH,IT,90,live,T,D
2017,I,Araucaria araucana,,CH,NL,21,live,T,A
2017,I,Araucaria araucana,,JP,NL,756,live,T,D
2017,I,Araucaria araucana,,JP,NL,500,live,T,D
2017,I,Araucaria araucana,,NL,CL,,live,T,D
2017,I,Araucaria araucana,,US,NL,10,seeds,T,A
2017,I,Alouatta palliata,Mammalia,US,CR,200,specimens,S,W
2017,I,Ateles geoffroyi,Mammalia,ES,CR,150,specimens,S,W
2017,I,Balaena mysticetus,Mammalia,DK,GL,,baleen,P,O
2017,I,Balaena mysticetus,Mammalia,DK,GL,,baleen,P,W
2017,I,Balaena mysticetus,Mammalia,FR,CA,,carvings,T,O
2017,I,Balaena mysticetus,Mammalia,RU,DE,2,carvings,Q,O
2017,I,Eubalaena australis,Mammalia,CZ,ZA,,specimens,S,W
2017,I,Balaenoptera acutorostrata,Mammalia,DE,GL,,specimens,S,W
2017,I,Balaenoptera borealis,Mammalia,GB,FK,,skin pieces,S,W
2017,I,Balaenoptera borealis,Mammalia,GB,FK,,skin pieces,S,W
2017,I,Balaenoptera musculus,Mammalia,CA,DE,1,specimens,S,W
2017,I,Balaenoptera physalus,Mammalia,FR,CA,,specimens,S,W
2017,I,Balaenoptera physalus,Mammalia,US,ES,5,specimens,S,W
2017,I,Megaptera novaeangliae,Mammalia,DK,AU,,specimens,S,W
2017,I,Megaptera novaeangliae,Mammalia,DK,AU,,specimens,S,W
2017,I,Megaptera novaeangliae,Mammalia,DK,GL,,specimens,S,W
2017,I,Megaptera novaeangliae,Mammalia,FR,CA,,specimens,S,W
2017,I,Megaptera novaeangliae,Mammalia,NL,NO,,specimens,S,W
2017,I,Megaptera novaeangliae,Mammalia,SE,AU,,specimens,S,W
2017,I,Megaptera novaeangliae,Mammalia,SE,GL,,specimens,S,W
2017,I,Megaptera novaeangliae,Mammalia,US,GB,1,bone carvings,T,O
2017,I,Acrantophis madagascariensis,Reptilia,ID,PL,10,live,Z,C
2017,I,Boa constrictor occidentalis,Reptilia,NO,DK,3,live,T,C
2017,I,Sanzinia madagascariensis,Reptilia,DE,MG,,specimens,S,W
2017,I,Addax nasomaculatus,Mammalia,IT,US,,trophies,H,F
2017,I,Capra falconeri,Mammalia,AT,TM,,trophies,H,W
2017,I,Capra falconeri,Mammalia,CA,PK,1,trophies,H,W
2017,I,Capra falconeri,Mammalia,CH,ES,1,skins,P,F
2017,I,Capra falconeri,Mammalia,CH,PK,13,specimens,S,W
2017,I,Capra falconeri,Mammalia,DE,TJ,,trophies,H,W
2017,I,Capra falconeri,Mammalia,ES,PK,2,trophies,H,W
2017,I,Capra falconeri,Mammalia,MX,PK,1,trophies,H,W
2017,I,Capra falconeri,Mammalia,SG,FR,2,live,Z,C
2017,I,Capra falconeri,Mammalia,UA,LV,9,live,Z,C
2017,I,Capra falconeri,Mammalia,US,PK,5,trophies,H,W
2017,I,Capra falconeri megaceros,Mammalia,US,PK,1,trophies,H,W
2017,I,Hippotragus niger variani,Mammalia,CD,ZA,,live,E,R
2017,I,Oryx dammah,Mammalia,AT,ZA,,trophies,H,W
2017,I,Oryx dammah,Mammalia,CZ,ZA,,trophies,H,F
2017,I,Oryx dammah,Mammalia,DE,ZA,,trophies,H,F
2017,I,Oryx dammah,Mammalia,DK,ZA,,trophies,H,F
2017,I,Oryx dammah,Mammalia,DK,ZA,,trophies,H,W
2017,I,Oryx dammah,Mammalia,ES,US,,trophies,H,F
2017,I,Oryx dammah,Mammalia,ES,ZA,,trophies,H,F
2017,I,Oryx dammah,Mammalia,ES,ZA,,trophies,H,W
2017,I,Oryx dammah,Mammalia,FR,ZA,,trophies,H,F
2017,I,Oryx dammah,Mammalia,FR,ZA,,trophies,P,F
2017,I,Oryx dammah,Mammalia,HU,ZA,,trophies,H,F
2017,I,Oryx dammah,Mammalia,IT,US,,trophies,H,F
2017,I,Oryx dammah,Mammalia,LU,ZA,,trophies,H,C
2017,I,Oryx dammah,Mammalia,LU,ZA,,trophies,H,F
2017,I,Oryx dammah,Mammalia,LU,ZA,,trophies,S,F
2017,I,Oryx dammah,Mammalia,MA,ES,6,live,S,C
2017,I,Oryx dammah,Mammalia,PK,ZA,,trophies,H,W
2017,I,Oryx dammah,Mammalia,PL,ZA,,trophies,H,F
